model_name,model_description,accuracy,hamming_accuracy,jaccard_score,precision,recall,f1_score,used_decission_threshold,best_decission_threshold,best_threshold_f1_score
Bert with cls and NN,"model_name: Bert with cls and NN, model_architecture: [layer_sizes: [768, 100, 19], dropout_layers: [0.5, 0.5], hidden layer activation: ReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.1183754333828628,0.8920518234665415,0.46122820712984647,0.5903413821815154,0.678339073861462,0.631288398183599,0.3,0.27925956,0.6325773907044925
Bert with cls and NN,"model_name: Bert with cls and NN, model_architecture: [layer_sizes: [768, 100, 19], dropout_layers: [0.5, 0.5], hidden layer activation: PReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.11441307578008915,0.8910873022079716,0.4672277480234634,0.5834394904458599,0.7011098354381936,0.6368851034243004,0.3,0.30562317,0.6385510543354626
Bert with cls and NN,"model_name: Bert with cls and NN, model_architecture: [layer_sizes: [768, 100, 19], dropout_layers: [0.5, 0.5], hidden layer activation: Tanh, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.133234274393264,0.8959099085008212,0.47161572052401746,0.6045801526717557,0.6819747416762342,0.6409495548961424,0.3,0.2798841,0.6422307962118554
Bert with cls and NN,"model_name: Bert with cls and NN, model_architecture: [layer_sizes: [768, 500, 19], dropout_layers: [0.5, 0.5], hidden layer activation: ReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.1436354631005448,0.8960923854956857,0.4643193119204408,0.609347442680776,0.6611174894756985,0.6341776798825257,0.3,0.29975346,0.6346206770021098
Bert with cls and NN,"model_name: Bert with cls and NN, model_architecture: [layer_sizes: [768, 500, 19], dropout_layers: [0.5, 0.5], hidden layer activation: PReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.1485884101040119,0.89671802090665,0.4583732057416268,0.6161337743476663,0.6415996938384998,0.6286089238845144,0.3,0.2643843,0.6321944089164993
Bert with cls and NN,"model_name: Bert with cls and NN, model_architecture: [layer_sizes: [768, 500, 19], dropout_layers: [0.5, 0.5], hidden layer activation: Tanh, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.1109460128776622,0.8884283517113736,0.4585705249841872,0.5750317258883249,0.6936471488710295,0.6287944492627928,0.3,0.3263798,0.6302222222222222
Bert with cls and NN,"model_name: Bert with cls and NN, model_architecture: [layer_sizes: [768, 1000, 19], dropout_layers: [0.5, 0.5], hidden layer activation: ReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.1575037147102526,0.8974739970282318,0.4601235415236788,0.6194788394012197,0.6414083429008802,0.6302528908526841,0.3,0.21682785,0.6347833759816465
Bert with cls and NN,"model_name: Bert with cls and NN, model_architecture: [layer_sizes: [768, 1000, 19], dropout_layers: [0.5, 0.5], hidden layer activation: PReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.1644378405151065,0.8985949271395428,0.4562482527257478,0.6286594761171033,0.6245694603903559,0.626607794202342,0.3,0.19025053,0.6344631260564007
Bert with cls and NN,"model_name: Bert with cls and NN, model_architecture: [layer_sizes: [768, 1000, 19], dropout_layers: [0.5, 0.5], hidden layer activation: Tanh, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.12976721149083706,0.8941894111206694,0.46669294442254633,0.5982819605861546,0.6796785304247991,0.6363880677237301,0.3,0.3051724,0.6378611936267892
Bert with cls and NN,"model_name: Bert with cls and NN, model_architecture: [layer_sizes: [768, 100, 100, 100, 19], dropout_layers: [0.5, 0.5, 0.5, 0.5], hidden layer activation: ReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.10648836057454185,0.8819373843226194,0.4448394214268203,0.5531169029111416,0.6944125526215078,0.6157631288707898,0.3,0.33018523,0.6192108269619474
