model_name,model_description,accuracy,hamming_accuracy,jaccard_score,precision,recall,f1_score,used_decission_threshold,best_decission_threshold,best_threshold_f1_score
Word2vec pretrained by google with NN,"model_name: Word2vec pretrained by google with NN, model_architecture: [layer_sizes: [300, 100, 19], dropout_layers: [0.5, 0.5], hidden layer activation: ReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.09212481426448738,0.8803732957952086,0.433246881561072,0.5499294560275906,0.6712590891695369,0.6045669969840585,0.3,0.30998874,0.6068892979226926
Word2vec pretrained by google with NN,"model_name: Word2vec pretrained by google with NN, model_architecture: [layer_sizes: [300, 100, 19], dropout_layers: [0.5, 0.5], hidden layer activation: PReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.08964834076275384,0.8800604780897265,0.4225652610441767,0.5511540350302832,0.6442786069651741,0.5940891045434495,0.3,0.2660567,0.6001828305493226
Word2vec pretrained by google with NN,"model_name: Word2vec pretrained by google with NN, model_architecture: [layer_sizes: [300, 100, 19], dropout_layers: [0.5, 0.5], hidden layer activation: Tanh, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.0861812778603269,0.8800344099476031,0.41923271075214535,0.551827242524917,0.6356678147722924,0.5907878356749067,0.3,0.26921713,0.5942432683379759
Word2vec pretrained by google with NN,"model_name: Word2vec pretrained by google with NN, model_architecture: [layer_sizes: [300, 500, 19], dropout_layers: [0.5, 0.5], hidden layer activation: ReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.09559187716691431,0.8817027710435077,0.4455711667684789,0.5520738722373599,0.6978568694986605,0.6164638269100743,0.3,0.33661973,0.6185165516020534
Word2vec pretrained by google with NN,"model_name: Word2vec pretrained by google with NN, model_architecture: [layer_sizes: [300, 500, 19], dropout_layers: [0.5, 0.5], hidden layer activation: PReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.10698365527488855,0.8863689684836161,0.4387794515256856,0.5728693898134141,0.6521239954075775,0.6099328859060403,0.3,0.27675694,0.6124793316508572
Word2vec pretrained by google with NN,"model_name: Word2vec pretrained by google with NN, model_architecture: [layer_sizes: [300, 500, 19], dropout_layers: [0.5, 0.5], hidden layer activation: Tanh, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.07677067855373948,0.8757592346393472,0.41492757181438744,0.5365079365079365,0.6467661691542289,0.5865000867603678,0.3,0.26819456,0.5902451101757862
Word2vec pretrained by google with NN,"model_name: Word2vec pretrained by google with NN, model_architecture: [layer_sizes: [300, 1000, 19], dropout_layers: [0.5, 0.5], hidden layer activation: ReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.10500247647350174,0.8847006073877115,0.4491219329929007,0.5626462786706194,0.6900114810562572,0.6198538891276322,0.3,0.2950411,0.6205776790292258
Word2vec pretrained by google with NN,"model_name: Word2vec pretrained by google with NN, model_architecture: [layer_sizes: [300, 1000, 19], dropout_layers: [0.5, 0.5], hidden layer activation: PReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.13273897969291729,0.8886368968483616,0.431006925945658,0.5864443638999638,0.6192116341370073,0.6023827252419955,0.3,0.2782279,0.6039776372468152
Word2vec pretrained by google with NN,"model_name: Word2vec pretrained by google with NN, model_architecture: [layer_sizes: [300, 1000, 19], dropout_layers: [0.5, 0.5], hidden layer activation: Tanh, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.0871718672610203,0.8780271630040927,0.409589905362776,0.5460050462573591,0.6211251435132032,0.5811476143586071,0.3,0.23600474,0.5875232023242677
Word2vec pretrained by google with NN,"model_name: Word2vec pretrained by google with NN, model_architecture: [layer_sizes: [300, 100, 100, 100, 19], dropout_layers: [0.5, 0.5, 0.5, 0.5], hidden layer activation: ReLU, final_layer_activation: Sigmoid], optimizer: Adam, loss_function: BCELoss learning_rate: 0.001, epochs: 100, test_split_ratio: 0.2, random split state: 10",0.0718177315502724,0.8697896300930632,0.411660777385159,0.5170883266755437,0.6687715269804823,0.5832290362953692,0.3,0.28917837,0.5847568988173456
